109	862	1
114	71	19
1371	6882	17
103	1987	31
232	732	9
154	1372	27
111	2194	7
105	8337	47
113	6142	4
9440	3193	15
627	7807	21
392	6331	5
12	6733	19
101	3584	21
115	35	21
13402	4020	18
143	6644	0
108	1268	5
252	8512	19
1072	2254	3
106	9650	6
17	2378	18
7597	5159	12
112	187	2
108	6992	10
106	9113	24
110	9460	3
116	9024	6
104	5859	29
1569	6143	34
102	6831	3
189	1467	20
101	1447	6
477	3140	2
122	4886	14
539	9783	9
177	3536	0
724	8382	38
1357	2263	20
12670	4262	18
110	5970	14
109	409	1
116	5928	9
125	1179	4
104	7782	18
14	1825	15
16070	1587	6
106	2359	6
133	7776	10
129	7074	43
2541	5356	18
3993	9045	7
3590	9818	2
103	367	3
103	3456	4
103	7106	14
14	4005	20
1270	7756	31
6493	1399	30
104	4396	11
10949	4197	1
111	6717	7
909	6381	12
1208	5940	0
124	8447	13
5004	5190	6
126	2300	18
101	7918	3
12	2723	5
257	5480	1
1270	8416	9
111	7767	15
123	5913	20
951	9981	9
742	1575	23
109	9012	6
305	942	14
14	9321	20
104	6017	3
114	6113	17
104	1549	11
129	3551	12
155	7216	14
114	6891	10
2732	1784	6
140	5597	12
175	3514	1
105	9638	20
104	3006	43
2595	3707	26
111	7889	25
232	4172	36
427	1136	11
2921	5626	12
14	104	15
1156	1982	15
785	3221	2
12	3086	13
156	923	18
106	6780	14
12	8559	5
12	3563	17
107	5010	23
258	3807	26
103	9104	39
107	8821	12
327	6893	4
1052	7984	6
222	6253	10
120	1642	22
12990	4830	27
5535	6562	11
237	2861	5
105	8486	16
102	5333	39
5879	2028	31
747	2082	3
3903	3006	25
102	8196	19
14	3628	18
14	2055	12
102	9775	13
699	1687	6
6935	3144	18
482	3387	6
235	3245	29
1231	6895	25
108	400	9
881	7990	11
357	5652	3
245	599	3
117	1864	21
1328	2215	3
122	3161	25
12	7977	31
106	1686	7
1753	8650	28
106	3511	2
4667	435	4
114	6342	6
102	6624	17
111	7869	3
194	3869	16
111	2303	9
5212	4814	24
101	5988	28
128	1207	3
102	4572	37
102	3263	42
101	4431	2
124	2334	1
124	8028	11
110	9722	7
150	2178	2
14	7875	16
130	550	9
102	7279	5
241	616	25
906	1771	13
133	3235	16
271	1254	6
101	8973	7
10689	2715	13
250	8995	5
8731	2330	0
117	5068	11
6146	9274	0
114	3717	24
1634	9969	14
102	3654	19
1561	9717	17
113	6808	5
114	911	3
119	6904	32
14	9797	12
102	1154	10
104	1007	17
16	6388	3
112	9745	3
115	8045	22
1472	1351	22
149	1094	13
245	5495	23
117	8298	6
2074	5118	1
102	232	2
103	1779	34
104	6124	13
367	3303	18
356	7483	1
332	2551	3
132	778	13
257	9479	8
1048	1242	26
104	2120	2
485	577	33
129	922	5
104	873	7
14	7115	6
15282	6578	34
1778	7350	0
1366	391	19
2126	1486	19
223	7979	25
867	7411	7
108	2324	18
103	8133	8
389	726	24
103	1384	5
102	8197	7
114	9992	14
183	8655	24
118	5708	12
181	1125	5
102	6089	2
113	5461	30
141	3831	0
219	9999	8
212	7213	11
1674	8686	13
1516	9480	11
596	7946	22
108	6873	12
105	1003	12
121	2566	14
14	9528	38
1720	8273	15
112	2047	23
108	4382	4
139	1657	1
115	8709	17
512	1559	21
104	5737	10
114	1925	16
107	8403	3
107	4305	4
165	3096	6
408	5424	14
104	7341	19
105	426	26
103	1131	20
12	5963	9
146	5805	13
630	8884	8
1217	3885	11
126	2450	13
4359	4216	0
104	618	22
102	713	15
142	2142	21
9527	6450	4
111	9727	14
946	8488	0
356	3734	4
2670	6123	0
104	9188	25
103	8850	34
264	5374	27
227	4281	3
4465	9084	1
8828	7214	4
111	9949	18
14	7716	9
375	5814	7
101	7020	2
101	4173	7
115	1318	22
108	4504	18
236	2765	16
156	2672	2
103	3176	13
9563	6113	0
110	6165	2
322	5454	3
105	1350	4
110	4916	7
529	9821	29
213	1889	7
114	5326	24
107	3728	23
104	8839	19
101	4054	37
287	9915	13
135	8037	0
12	5672	3
103	5252	22
107	9032	36
105	3110	23
101	5159	15
12	7701	35
174	1018	1
104	7210	17
3606	1261	5
106	9306	15
112	7166	6
115	9063	15
138	4048	10
1797	9740	8
147	2694	0
159	2559	0
104	7787	7
12997	7278	2
12	6092	11
103	802	20
118	5333	46
464	5936	14
103	8100	7
1645	3350	15
414	7671	15
3620	7556	16
14	6931	50
119	6822	2
