1221	182	8	22.08
2765	184	3	7.22
106	808	47	28.89
187	4106	3	10.73
275	813	7	18.43
212	194	22	7.58
468	102	103	16.22
1557	150	5	7.17
22	16	5	26.39
2091	155	4	6.65
3398	168	4	12.37
706	200	36	179.42
148	209	69	67.45
344	1807	3	10.44
1165	12	34	7.25
472	181	10	9.07
2805	130	7	14.36
554	803	10	51.99
6545	182	3	14.38
5327	102	7	8.19
671	113	53	43.73
120	118	1543	760.08
188	12	420	24.77
101	3363	12	7.24
2610	58	9	49.6
1030	57	6	11.32
7889	155	4	26.86
148	7	44	36.07
283	501	6	8.94
793	5462	4	38.46
11645	120	3	10.94
485	1301	3	11.45
108	10130	3	6.96
113	8239	4	11.16
11108	111	3	8.2
958	235	7	17.6
135	5325	3	8.79
768	671	3	9.45
1389	242	7	24.88
2242	225	3	8.02
106	605	72	65.93
1593	294	4	13.2
2938	1672	3	25.78
107	10569	3	6.75
12	2571	15	7.28
108	10070	3	6.96
229	364	12	16.48
1068	447	3	9.03
475	1414	5	24.55
119	6010	5	16.11
4135	159	4	14.94
1790	143	5	6.84
690	107	59	45.59
14	116	5436	82.38
2680	102	18	21.07
149	864	8	6.75
2573	792	3	19.3
164	1176	7	12.44
123	4369	6	14.88
132	8474	3	11.69
235	152	46	47.46
1148	531	3	11.14
905	177	6	7.22
3323	116	7	7.36
297	3772	3	15.01
137	155	85	12.79
403	806	4	10.58
8	779	23	66.76
107	517	57	7.74
670	916	3	10.82
155	4415	3	9.11
433	934	3	8.32
6286	103	6	8.45
350	8	15	7.79
235	212	18	11.33
739	548	3	8.06
137	57	72	38.98
449	103	88	6.92
5708	116	6	14.11
271	179	22	16.26
140	1159	8	8.92
9263	6607	3	54.18
14	228	421	10.24
1272	653	5	28.19
2996	3827	3	33.47
7812	1011	3	34.95
7635	292	3	21.34
2644	269	3	11.2
1220	397	4	14.82
163	2999	3	6.66
112	1242	23	21.79
565	239	6	7.35
3146	225	3	11.21
124	8245	3	7.98
284	720	5	9.64
14	285	275	9.66
156	2032	5	10.75
2505	366	4	20.98
378	231	9	9.4
109	9410	3	7.48
203	338	13	13.02
323	1644	4	14.45
216	441	8	7.41
8757	106	4	8.12
345	613	4	6.81
266	697	5	8.04
162	1052	7	9.45
765	1662	4	23.45
559	3544	3	20.06
1649	2114	10	108.99
120	2931	7	6.77
524	670	6	21.83
110	1006	25	9.57
1459	318	3	8.51
5313	248	5	35
174	198	28	7.69
426	112	64	38.53
371	126	43	25.38
113	5433	6	11.57
4668	108	7	8.22
687	832	3	10.57
138	951	14	20.05
1913	105	21	15.74
1985	119	15	22.19
7688	117	3	9.33
238	809	10	28.67
1415	112	26	38.01
1142	5447	4	42.36
2819	173	4	11.29
1058	765	3	12.65
454	131	19	6.7
1070	500	3	9.8
900	21	54	294.24
1225	540	3	11.1
566	104	64	19.99
2596	126	6	6.73
2707	137	5	8.73
2228	154	7	21.72
122	153	272	79.88
174	135	66	7.09
116	6700	5	16.18
458	2740	4	24.53
135	1985	9	21.18
1349	749	3	14.29
298	1821	4	14.48
6829	119	4	8.33
812	106	43	16.36
2138	530	6	38.9
1235	153	7	10.45
279	101	205	16.65
538	195	9	10.25
132	744	17	17.58
2200	117	11	8.08
5313	9	6	34.86
2783	142	4	7.2
1127	108	46	82.06
2344	153	5	10.95
116	480	41	7.66
104	5482	7	13.86
784	151	18	39.42
110	854	29	7.79
1014	814	3	12.81
163	274	22	12.09
105	6543	5	7.81
2036	328	3	11.26
303	1329	4	11.97
9608	2339	3	44
440	1378	3	10.83
455	1050	3	9.16
257	2541	3	10.12
140	4038	5	16.5
1748	272	4	14.08
118	2096	11	9.46
280	1022	4	8.69
179	4644	4	16.98
114	5588	6	11.89
123	1012	19	19.82
105	363	118	10.54
173	349	49	137.13
272	250	12	10.87
512	3230	3	18.29
181	11537	3	22.04
536	1744	3	13.72
2234	1659	4	38.92
347	1302	9	45.35
453	345	6	10.52
3361	2857	9	124.97
2008	234	8	37.31
118	2020	14	18.92
417	387	5	8.26
105	430	89	7.53
300	105	152	8.91
1784	112	15	12.54
407	162	21	26.32
536	1788	3	13.92
111	147	297	18.25
231	1841	3	8.45
5390	106	6	7.34
605	5475	3	26.1
2371	505	5	31.74
2633	932	5	41.09
2658	112	10	9.76
179	4508	3	10.67
139	128	162	14.36
310	528	5	7.29
696	980	3	11.39
1476	124	13	12.25
399	856	4	10.91
366	742	16	81.18
407	106	100	33.32
200	7333	3	17.16
1079	108	27	9.48
328	193	13	9.61
105	534	75	14.32
4173	101	10	10.4
172	1927	4	7.68
7	213	17	15.08
405	126	34	14.03
785	180	7	8.71
157	4722	3	9.11
2054	110	15	20.87
5385	3322	5	70.7
101	820	54	6.78
106	5396	6	7.34
524	1953	3	14.06
1009	128	12	9.64
5051	106	7	9.08
104	4311	8	7.69
1242	101	33	6.94
107	9839	3	6.75
115	5195	5	8.01
1766	106	21	21.69
841	106	59	66.22
129	6299	3	6.87
141	2400	5	9.27
119	507	41	8.81
132	1942	6	6.87
2441	834	3	19.22
1140	494	4	16.2
622	2430	3	17.38
351	1803	7	43.24
2365	785	6	48.66
707	487	3	7.28
2825	3494	3	31.86
385	955	10	48.48
834	2001	3	17.81
395	579	5	11.24
3812	1073	4	36.15
2688	1087	6	55.16
9	3938	4	13.08
10099	135	3	16.72
648	695	3	8.66
171	4189	3	9.97
198	2251	5	15.88
1103	349	3	7.64
206	1380	13	68.05
779	457	3	7.2
431	414	5	9.22
841	233	5	8.27
10243	171	3	21.81
380	8247	4	40.02
109	1035	32	19.6
3365	343	9	72.65
591	714	3	8.67
7	263	34	82.53
884	7872	3	32
193	5243	4	23.14
286	270	12	13.99
370	318	8	12.4
13	2210	5	28.02
998	1246	4	24.01
4028	164	3	10.04
766	126	16	7.46
333	105	131	12.57
4460	850	3	24.62
277	119	99	26.56
822	112	29	12.1
506	846	3	8
1715	9	8	20.78
655	9	9	7.1
1492	3342	4	38.76
1155	519	3	10.85
407	1514	3	10.71
144	147	61	7.81
5355	106	6	7.34
1046	164	8	13.85
5850	101	7	7.28
4355	124	5	7.88
214	2297	8	39.31
160	110	455	218.93
9	9814	3	20.26
108	128	918	74.7
3813	9	3	7.92
1369	106	23	8.3
418	496	4	7.09
1607	514	24	226.72
970	101	49	15.35
144	215	37	8.76
195	203	32	26.21
1764	5410	5	61.75
649	543	3	6.74
140	2756	6	15.68
112	2783	9	7.92
105	7391	5	7.81
710	266	5	8.23
4460	6	9	113.92
1715	248	5	16.94
8864	106	4	8.12
2648	7420	3	38.74
500	284	6	8.88
1033	2026	7	58.47
261	1630	3	7.08
1253	298	3	6.88
680	1412	7	45.02
233	425	8	9.32
381	1302	3	9.25
333	298	14	28.74
2613	1489	3	24.8
1441	220	7	22.48
1855	318	3	10.17
4466	4899	8	140.44
8571	121	3	6.77
11152	119	3	9.66
175	1637	5	10.57
1680	1681	5	41.67
364	226	9	7.31
11261	490	3	32.7
126	1281	12	11.44
445	711	3	6.74
1798	376	3	11.03
3978	320	3	15.61
12	3256	12	9.62
125	373	31	6.66
12	5249	8	10.1
1296	7237	5	66.81
752	1314	5	29.17
851	2834	3	20.27
250	1451	4	10.96
168	1741	7	17.61
131	1039	14	16.78
747	231	6	11
244	3665	9	64.32
3782	166	3	9.06
1035	116	43	84.39
6520	12	6	7.58
3726	184	3	9.33
171	936	6	7.51
2435	522	3	15.7
1564	125	9	8.16
685	1901	3	16.18
7509	118	4	8.96
9983	3008	3	45.89
11261	355	3	29.46
8040	502	3	28.11
475	150	12	7.62
927	109	39	27.42
201	2449	3	7.34
171	884	6	6.63
125	476	46	57.74
1633	113	20	20.33
1035	188	6	9.19
575	163	18	33.43
3197	129	5	7.8
6412	107	5	6.63
703	113	32	7.29
216	4166	3	13.04
355	1917	5	23.99
6347	1950	3	34
778	1564	22	224.2
3421	181	4	13.81
975	947	4	20.62
2882	127	7	15.3
106	8040	4	8.12
115	7	87	8.71
113	773	32	9.91
3313	118	7	7.16
1179	228	5	11.51
114	1000	26	11.89
1702	221	4	9.7
777	1731	3	16.27
248	2537	4	15.48
245	3873	3	13.54
119	9136	4	12.89
373	671	4	7.97
233	2836	3	10.08
264	313	12	16.25
112	426	64	38.53
1042	605	5	26.07
734	463	3	7.14
869	1486	22	225.68
2148	310	3	10.61
1050	355	3	7.04
113	11254	3	8.37
128	4236	4	8.47
140	465	36	66.59
8869	11124	3	56.41
103	320	160	20.29
114	7129	4	6.93
474	925	3	8.33
118	4514	7	18.1
4634	829	3	25.58
5760	139	3	8.6
1646	107	19	11.98
1339	900	4	22.76
914	3103	4	31.38
6	4395	6	64.14
434	979	3	8.09
3272	109	13	25.89
264	152	25	9.68
103	6328	6	8.45
4365	8	3	9.29
273	481	15	43.6
2184	134	9	20.34
5804	118	5	9.38
103	155	626	80.79
689	136	12	7.39
667	770	3	9.61
140	517	21	22.04
1823	472	3	13.48
4298	3529	3	34.65
307	109	128	43.46
800	102	55	9.96
5082	150	3	9.68
116	9878	3	9.71
904	146	8	6.69
3046	111	15	41.03
103	6260	6	8.45
112	546	51	26.74
2867	210	3	9.03
3763	172	3	8.59
173	4065	4	17.05
103	57	341	29.11
414	103	101	10.94
3010	118	7	7.16
794	3152	4	31.08
236	179	63	130.1
2620	8	9	36.73
2029	901	9	91.92
593	1606	3	14.19
3735	16	4	15.93
465	3392	3	17.97
318	297	8	8.37
10311	118	3	10.17
6065	258	3	18.57
11344	179	3	21.81
102	2066	23	20.23
247	1070	6	16.43
120	7466	4	9.94
11261	111	3	8.2
585	2530	5	33.93
559	615	3	7.48
10586	113	3	8.37
120	1245	14	7.46
8569	5334	3	46.85
17	326	11	10.64
192	1045	9	21.91
575	351	8	23.82
1633	408	3	11.2
3218	7383	3	39.63
547	449	4	8.34
11416	109	3	7.48
5909	1041	3	29.31
262	10942	3	26.38
101	2133	22	12.74
2399	301	3	11.41
819	348	4	9.71
120	1305	21	29.14
727	631	3	8.86
344	704	5	11.37
122	4037	6	10.52
4563	129	4	8.07
2114	4550	4	44.92
4549	529	3	22.01
526	1867	3	13.97
3663	136	5	13.16
199	3432	3	9.64
115	580	29	6.88
676	587	5	17.7
6209	120	4	7.66
719	2357	3	17.9
2231	182	4	11.23
104	813	40	9.35
4487	118	9	30.51
391	508	6	13.39
559	734	5	19.17
541	102	93	27.75
1412	770	4	22.49
157	146	69	16.17
7255	125	3	7.65
1310	118	15	9.2
2347	129	8	13.52
2291	111	12	8.38
266	3518	3	12.73
115	504	46	23.88
115	6724	4	9.33
9	1571	5	8.18
809	130	13	7.52
4724	152	3	8.93
613	9983	3	33.96
339	2940	3	14.62
532	324	5	8.18
623	226	9	17.33
1306	2131	4	31.7
353	317	8	11.53
112	219	143	17.04
1662	615	3	14.68
140	313	45	59.82
150	702	10	9.65
1693	1656	3	22.82
4582	219	3	13.2
8279	182	3	18.11
717	1295	4	21.04
103	454	126	106.01
1691	3557	3	29.96
1185	313	12	63.42
112	292	76	7
353	258	18	43.93
2502	249	3	10.15
264	465	8	12.16
210	2250	4	11.8
383	1488	4	15.84
218	696	11	26.14
423	1732	4	18.32
103	506	85	12.72
2577	3288	3	29.8
11417	7237	3	54.18
107	1596	18	6.81
2474	184	3	6.89
228	7085	3	20.65
7470	103	5	7.04
301	145	30	25.76
474	806	3	7.53
3128	1764	11	142.67
5263	8	4	17.77
3354	134	4	7.04
532	8	11	8.43
3052	139	4	7.42
773	3457	3	21.48
6142	102	6	7.02
103	574	73	27.11
490	5185	3	22.16
588	141	14	10.82
2879	2377	6	70.4
966	12	41	10.64
140	212	89	101.63
2909	111	12	17.18
1999	7	4	13.3
155	3345	4	11.45
5407	175	3	12.61
5910	182	4	22.54
123	5395	6	20.09
2135	1898	7	73.1
112	179	250	56.19
164	165	45	14.4
3542	127	4	7.15
579	112	49	28.56
